id,descFeedback,rate,product_id,user_id
127,Did not like it.,2,1397,2
128,Will buy again!,2,742,2
129,Could be better.,4,764,2
130,Excellent product!,1,2524,2
131,Excellent product!,4,5212,2
132,Did not like it.,4,4773,2
133,Very good quality.,4,5563,2
134,Will buy again!,4,4197,2
135,Very good quality.,1,3046,2
136,Did not like it.,4,2672,2
137,Will buy again!,5,669,2
138,Did not like it.,3,2364,2
139,Not bad.,1,4949,2
140,Excellent product!,3,2705,2
141,Will buy again!,2,3913,2
142,Did not like it.,1,5759,3
143,Did not like it.,4,2544,3
144,Could be better.,2,179,3
145,Will buy again!,3,4296,3
146,Will buy again!,3,5857,3
147,Could be better.,2,27,3
148,Excellent product!,1,6706,3
149,Could be better.,4,1835,3
150,Did not like it.,3,1185,3
151,Not bad.,3,1424,3
152,Not bad.,3,1329,3
153,Excellent product!,5,6385,3
154,Could be better.,1,6772,3
155,Not bad.,2,3045,3
156,Very good quality.,5,6546,3
157,Will buy again!,1,1966,3
158,Did not like it.,1,4613,3
159,Did not like it.,3,5721,3
160,Will buy again!,4,6169,3
161,Will buy again!,1,3709,3
162,Could be better.,4,2506,3
163,Will buy again!,5,4627,3
164,Will buy again!,2,3842,3
165,Very good quality.,3,2,3
166,Could be better.,5,373,3
167,Did not like it.,3,268,3
168,Not bad.,2,6744,3
169,Excellent product!,5,1198,3
170,Not bad.,4,6775,3
171,Very good quality.,4,1081,3
172,Could be better.,2,333,3
173,Could be better.,1,6609,3
174,Could be better.,2,638,3
175,Very good quality.,4,3387,3
176,Did not like it.,4,6959,3
177,Very good quality.,3,4006,3
178,Will buy again!,4,801,3
179,Very good quality.,4,6336,3
180,Very good quality.,4,3610,3
181,Excellent product!,5,5519,3
182,Not bad.,5,5221,3
183,Very good quality.,4,6586,3
184,Excellent product!,3,5985,3
185,Could be better.,3,3119,3
186,Excellent product!,3,1204,3
187,Excellent product!,1,1264,3
188,Excellent product!,4,4773,3
189,Not bad.,4,2587,3
190,Did not like it.,4,2055,3
191,Did not like it.,1,2316,3
192,Did not like it.,3,5899,3
193,Will buy again!,2,6378,3
194,Not bad.,4,3692,3
195,Could be better.,2,842,3
196,Excellent product!,5,3155,3
197,Very good quality.,5,2786,3
198,Very good quality.,1,5568,3
199,Not bad.,1,5222,3
200,Did not like it.,1,374,3
201,Very good quality.,5,2392,3
202,Very good quality.,3,6030,3
203,Will buy again!,5,2948,3
204,Could be better.,1,2540,3
205,Could be better.,4,3372,3
206,Will buy again!,5,5159,3
207,Will buy again!,5,1742,3
208,Did not like it.,2,1049,3
209,Very good quality.,1,5236,3
210,Will buy again!,3,313,3
211,Very good quality.,2,5838,3
212,Will buy again!,2,3006,3
213,Did not like it.,3,4724,3
214,Excellent product!,3,3249,3
215,Not bad.,5,4179,3
216,Not bad.,2,418,3
217,Excellent product!,4,5931,3
218,Did not like it.,3,1129,3
219,Will buy again!,5,5603,3
220,Excellent product!,3,649,3
221,Did not like it.,1,4456,3
222,Could be better.,2,3802,3
223,Did not like it.,5,4495,3
224,Very good quality.,1,4023,3
225,Not bad.,2,1114,3
226,Very good quality.,5,1951,3
227,Did not like it.,3,177,3
228,Not bad.,1,5896,3
229,Not bad.,3,3574,3
230,Did not like it.,3,1066,3
231,Excellent product!,3,4777,3
232,Could be better.,2,5610,3
233,Did not like it.,2,635,3
234,Not bad.,3,492,3
235,Not bad.,4,366,3
236,Could be better.,5,123,3
237,Very good quality.,1,4110,3
238,Did not like it.,2,2332,3
239,Did not like it.,4,5821,3
240,Could be better.,2,3966,3
241,Did not like it.,5,6206,3
242,Did not like it.,4,6717,3
243,Will buy again!,2,2395,3
244,Could be better.,2,5429,3
245,Excellent product!,5,3544,3
246,Not bad.,5,2120,3
247,Did not like it.,2,51,3
248,Not bad.,1,5434,3
249,Did not like it.,1,5181,3
250,Very good quality.,4,898,3
251,Could be better.,1,2762,3
252,Did not like it.,1,2163,3
253,Will buy again!,4,4029,3
254,Excellent product!,1,1328,3
255,Excellent product!,4,3399,3
256,Could be better.,4,2182,3
257,Excellent product!,4,808,3
258,Did not like it.,2,691,3
259,Excellent product!,1,3033,3
260,Could be better.,5,658,3
261,Did not like it.,4,2692,3
262,Will buy again!,2,5953,3
263,Very good quality.,2,6953,3
264,Not bad.,3,1457,3
265,Not bad.,3,4944,3
266,Will buy again!,3,5293,3
267,Could be better.,2,716,3
268,Could be better.,4,3547,3
269,Very good quality.,5,4803,3
270,Excellent product!,3,2620,3
271,Very good quality.,4,951,3
272,Very good quality.,2,1254,3
273,Very good quality.,5,1546,3
274,Could be better.,2,6095,3
275,Could be better.,5,5192,3
276,Could be better.,3,2099,3
277,Will buy again!,1,4369,3
278,Will buy again!,2,5687,3
279,Excellent product!,1,4117,3
280,Could be better.,2,4932,3
281,Will buy again!,2,4814,3
282,Very good quality.,1,2160,3
283,Not bad.,4,4418,3
284,Could be better.,4,6957,3
285,Very good quality.,4,6040,3
286,Will buy again!,1,3396,3
287,Excellent product!,5,5781,3
288,Could be better.,1,3478,3
289,Did not like it.,1,3929,3
290,Will buy again!,5,2497,3
291,Very good quality.,4,6182,3
292,Excellent product!,5,4581,3
293,Did not like it.,1,2604,3
294,Excellent product!,5,2308,3
295,Excellent product!,3,3901,3
296,Did not like it.,3,3127,3
297,Did not like it.,3,2121,3
298,Did not like it.,1,2992,3
299,Excellent product!,3,4398,3
300,Very good quality.,1,2667,3
301,Excellent product!,4,6604,3
302,Will buy again!,4,751,4
303,Not bad.,3,2746,4
304,Could be better.,3,1976,4
305,Excellent product!,2,4372,4
306,Could be better.,2,2544,4
307,Excellent product!,1,5534,4
308,Will buy again!,2,6378,4
309,Not bad.,5,4427,4
310,Did not like it.,5,955,4
311,Not bad.,1,2797,4
312,Not bad.,4,2846,4
313,Will buy again!,5,6570,4
314,Excellent product!,4,2704,4
315,Did not like it.,4,861,4
316,Very good quality.,5,3965,4
317,Excellent product!,4,4469,4
318,Very good quality.,1,4859,4
319,Will buy again!,5,1726,4
320,Not bad.,1,3632,4
321,Very good quality.,1,5790,4
322,Very good quality.,4,3492,4
323,Did not like it.,5,836,4
324,Will buy again!,5,4180,4
325,Very good quality.,3,3893,4
326,Not bad.,1,1039,4
327,Not bad.,3,5567,4
328,Did not like it.,5,2818,4
329,Could be better.,1,5347,4
330,Not bad.,5,6938,4
331,Could be better.,1,5924,4
332,Could be better.,1,1080,4
333,Very good quality.,3,6123,4
334,Not bad.,5,6823,4
335,Excellent product!,2,4423,4
336,Will buy again!,2,5047,4
337,Could be better.,5,235,4
338,Did not like it.,3,1396,4
339,Not bad.,5,6679,4
340,Very good quality.,1,1295,4
341,Excellent product!,5,6962,4
342,Could be better.,5,3410,4
343,Could be better.,5,6153,4
344,Will buy again!,5,4719,4
345,Could be better.,4,6583,4
346,Not bad.,5,6902,4
347,Excellent product!,2,2400,4
348,Not bad.,4,2980,4
349,Very good quality.,1,556,4
350,Excellent product!,4,6461,4
351,Could be better.,1,4550,4
352,Could be better.,4,5400,4
353,Will buy again!,5,1282,4
354,Not bad.,4,1153,4
355,Very good quality.,5,5746,4
356,Did not like it.,1,6003,4
357,Very good quality.,1,2680,4
358,Very good quality.,4,53,4
359,Could be better.,2,3916,4
360,Could be better.,5,4172,4
361,Could be better.,3,4606,4
362,Will buy again!,4,4679,4
363,Did not like it.,1,6355,4
364,Very good quality.,2,1093,4
365,Could be better.,2,6780,4
366,Did not like it.,1,2063,4
367,Not bad.,3,3024,4
368,Could be better.,1,2756,4
369,Not bad.,5,6536,4
370,Did not like it.,3,5169,4
371,Very good quality.,3,1737,4
372,Very good quality.,4,6742,4
373,Could be better.,1,4744,4
374,Did not like it.,3,1284,4
375,Could be better.,3,4417,4
376,Excellent product!,3,5854,4
377,Not bad.,5,1666,4
378,Excellent product!,4,6862,4
379,Did not like it.,3,6890,4
380,Excellent product!,5,6283,4
381,Excellent product!,1,4080,4
382,Could be better.,2,1724,4
383,Very good quality.,4,177,4
384,Did not like it.,4,5135,4
385,Will buy again!,1,2647,4
386,Not bad.,4,6861,4
387,Excellent product!,5,4924,4
388,Very good quality.,1,5034,4
389,Very good quality.,3,1705,4
390,Very good quality.,1,2892,4
391,Could be better.,2,3243,4
392,Could be better.,4,3398,4
393,Not bad.,5,1652,4
394,Excellent product!,1,2586,4
395,Excellent product!,1,5521,4
396,Will buy again!,2,4350,4
397,Excellent product!,2,4359,4
398,Not bad.,5,434,4
399,Not bad.,4,2504,4
400,Did not like it.,2,783,4
401,Will buy again!,4,6881,4
402,Could be better.,3,5826,4
403,Excellent product!,4,1714,4
404,Excellent product!,3,5057,4
405,Will buy again!,3,109,4
406,Very good quality.,5,6705,4
407,Will buy again!,1,6688,4
408,Not bad.,1,3313,4
409,Very good quality.,3,854,4
410,Will buy again!,2,1449,4
411,Will buy again!,2,6744,4
412,Will buy again!,1,2275,4
413,Could be better.,1,326,4
414,Did not like it.,5,476,4
415,Excellent product!,3,3363,4
416,Did not like it.,1,6212,4
417,Could be better.,1,3006,4
418,Did not like it.,5,1108,4
419,Very good quality.,3,1588,4
420,Did not like it.,1,404,4
421,Excellent product!,4,3585,4
422,Not bad.,4,3266,4
423,Not bad.,4,3229,4
424,Could be better.,1,1234,4
425,Not bad.,1,5904,4
426,Will buy again!,5,2017,4
427,Did not like it.,3,2359,4
428,Did not like it.,1,6235,4
429,Very good quality.,2,501,4
430,Will buy again!,3,3428,4
431,Did not like it.,2,2090,4
432,Excellent product!,1,2171,4
433,Very good quality.,2,2188,4
434,Did not like it.,1,4201,4
435,Excellent product!,1,3250,4
436,Did not like it.,1,4873,4
437,Will buy again!,5,2489,4
438,Excellent product!,4,3163,4
439,Could be better.,3,6027,4
440,Will buy again!,4,1950,4
441,Did not like it.,3,4202,4
442,Could be better.,1,3235,4
443,Excellent product!,4,1444,4
444,Will buy again!,4,4121,4
445,Will buy again!,2,2253,4
446,Could be better.,5,1328,4
447,Will buy again!,1,6360,4
448,Did not like it.,4,2314,4
449,Excellent product!,3,423,4
450,Could be better.,4,2047,4
451,Could be better.,5,4194,5
452,Will buy again!,2,549,5
453,Did not like it.,1,1305,5
454,Not bad.,2,1464,5
455,Did not like it.,2,616,5
456,Not bad.,5,2213,5
457,Will buy again!,3,5781,5
458,Very good quality.,2,2376,5
459,Excellent product!,5,1248,5
460,Excellent product!,2,4950,5
461,Could be better.,1,5765,5
462,Very good quality.,4,4029,5
463,Could be better.,4,136,5
464,Did not like it.,1,5420,5
465,Not bad.,5,5666,5
466,Excellent product!,4,530,5
467,Not bad.,2,6838,5
468,Will buy again!,2,3287,5
469,Not bad.,5,898,5
470,Excellent product!,2,4513,5
471,Very good quality.,2,767,5
472,Did not like it.,5,1174,5
473,Did not like it.,5,2038,5
474,Not bad.,3,2025,5
475,Very good quality.,3,6686,5
476,Very good quality.,5,536,5
477,Could be better.,5,6000,5
478,Not bad.,5,1712,5
479,Will buy again!,5,1435,5
480,Not bad.,4,1639,5
481,Will buy again!,1,5643,5
482,Excellent product!,4,4916,5
483,Will buy again!,5,4235,5
484,Very good quality.,4,2830,5
485,Excellent product!,1,1152,5
486,Excellent product!,2,1429,5
487,Did not like it.,1,3714,5
488,Will buy again!,3,5032,5
489,Did not like it.,2,6069,5
490,Not bad.,2,5462,5
491,Could be better.,3,1613,5
492,Very good quality.,4,2181,5
493,Excellent product!,2,2510,5
494,Not bad.,4,3405,5
495,Very good quality.,3,4399,5
496,Will buy again!,1,2055,5
497,Very good quality.,5,38,5
498,Not bad.,1,257,5
499,Will buy again!,3,4292,5
500,Not bad.,1,2088,5
501,Very good quality.,2,151,5
502,Excellent product!,2,2345,5
503,Very good quality.,4,950,5
504,Could be better.,1,1796,5
505,Very good quality.,2,627,5
506,Will buy again!,1,6499,5
507,Will buy again!,3,6570,5
508,Excellent product!,5,5733,5
509,Not bad.,5,4375,5
510,Very good quality.,2,2052,5
511,Excellent product!,4,4370,5
512,Not bad.,1,5043,5
513,Will buy again!,5,3406,5
514,Excellent product!,3,3069,5
515,Will buy again!,1,6538,5
516,Will buy again!,5,2220,5
517,Not bad.,5,3345,5
518,Will buy again!,3,3890,5
519,Excellent product!,3,6152,5
520,Did not like it.,5,2128,5
521,Could be better.,2,4838,5
522,Very good quality.,4,5381,5
523,Did not like it.,4,5063,5
524,Could be better.,1,1766,5
525,Could be better.,3,5804,5
526,Will buy again!,4,3178,5
527,Did not like it.,2,4202,5
528,Could be better.,2,3827,5
529,Excellent product!,2,6612,5
530,Excellent product!,3,2590,5
531,Very good quality.,4,643,5
532,Very good quality.,1,3520,5
533,Very good quality.,1,261,5
534,Excellent product!,5,4777,5
535,Not bad.,2,1373,5
536,Did not like it.,5,5883,5
537,Did not like it.,4,2497,5
538,Excellent product!,4,1837,5
539,Will buy again!,2,6380,5
540,Did not like it.,2,2614,5
541,Will buy again!,2,6633,5
542,Will buy again!,5,6768,5
543,Could be better.,4,3839,5
544,Did not like it.,3,1935,5
545,Will buy again!,5,601,5
546,Did not like it.,2,2461,5
547,Very good quality.,1,5736,5
548,Not bad.,5,4098,5
549,Not bad.,2,2103,5
550,Could be better.,2,6020,5
551,Will buy again!,2,3492,5
552,Very good quality.,2,4774,5
553,Did not like it.,3,5837,5
554,Could be better.,5,1966,5
555,Very good quality.,5,5298,5
556,Excellent product!,5,2293,5
557,Will buy again!,5,511,5
558,Very good quality.,1,248,5
559,Could be better.,4,409,5
560,Very good quality.,2,4623,5
561,Excellent product!,4,6625,5
562,Will buy again!,2,3191,5
563,Did not like it.,3,5090,5
564,Excellent product!,5,2895,5
565,Will buy again!,2,1998,5
566,Excellent product!,1,2105,5
567,Excellent product!,2,195,5
568,Did not like it.,1,3206,5
569,Could be better.,2,3621,5
570,Could be better.,3,5014,5
571,Not bad.,5,5015,5
572,Not bad.,2,5096,5
573,Could be better.,5,4967,5
574,Excellent product!,2,905,5
575,Excellent product!,3,5330,5
576,Will buy again!,1,5410,5
577,Will buy again!,5,3532,5
578,Excellent product!,4,4514,5
579,Did not like it.,3,4612,5
580,Very good quality.,1,6135,5
581,Excellent product!,3,1841,5
582,Not bad.,3,2752,5
583,Not bad.,4,4788,5
584,Did not like it.,3,5081,5
585,Could be better.,2,4161,5
586,Will buy again!,3,5872,5
587,Did not like it.,3,6055,5
588,Excellent product!,2,322,5
589,Could be better.,1,1187,5
590,Could be better.,5,1303,5
591,Will buy again!,5,2889,5
592,Not bad.,3,1567,5
593,Excellent product!,1,3989,5
594,Excellent product!,5,781,5
595,Very good quality.,4,4404,5
596,Not bad.,3,2561,5
597,Very good quality.,2,5988,5
598,Did not like it.,4,2070,5
599,Not bad.,4,5062,5
600,Did not like it.,3,6699,5
601,Could be better.,4,1118,5
602,Did not like it.,5,3468,6
603,Not bad.,5,4375,6
604,Not bad.,4,6376,6
605,Could be better.,3,3255,6
606,Excellent product!,3,2054,6
607,Excellent product!,5,4171,6
608,Very good quality.,1,3530,6
609,Very good quality.,4,5517,6
610,Will buy again!,4,167,6
611,Not bad.,5,3849,6
612,Did not like it.,5,1158,6
613,Excellent product!,5,1716,6
614,Did not like it.,3,5469,6
615,Not bad.,2,1452,6
616,Very good quality.,5,6110,6
617,Could be better.,2,4287,6
618,Not bad.,5,4434,6
619,Excellent product!,1,4011,6
620,Did not like it.,2,499,6
621,Very good quality.,5,6832,6
622,Did not like it.,1,86,6
623,Did not like it.,4,6414,6
624,Excellent product!,1,1401,6
625,Excellent product!,5,1733,6
626,Not bad.,2,6356,6
627,Not bad.,2,4657,6
628,Not bad.,4,1858,6
629,Not bad.,3,2142,6
630,Not bad.,3,1163,6
631,Excellent product!,3,1047,6
632,Not bad.,1,196,6
633,Will buy again!,2,3623,6
634,Will buy again!,1,5611,6
635,Excellent product!,4,6092,6
636,Could be better.,3,4025,6
637,Very good quality.,1,6011,6
638,Will buy again!,1,1804,6
639,Will buy again!,1,4250,6
640,Did not like it.,4,1496,6
641,Could be better.,4,6740,6
642,Excellent product!,1,5105,6
643,Not bad.,3,6635,6
644,Will buy again!,4,2374,6
645,Did not like it.,3,2483,6
646,Very good quality.,1,2830,6
647,Did not like it.,5,5886,6
648,Not bad.,4,249,6
649,Excellent product!,4,3656,6
650,Not bad.,1,6512,6
651,Could be better.,4,473,6
652,Will buy again!,1,7000,6
653,Will buy again!,1,1814,6
654,Did not like it.,2,3201,6
655,Did not like it.,1,6738,6
656,Very good quality.,5,823,6
657,Could be better.,1,915,6
658,Did not like it.,4,5670,6
659,Excellent product!,4,5375,6
660,Not bad.,5,379,6
661,Will buy again!,1,1847,6
662,Very good quality.,3,562,6
663,Very good quality.,1,1633,6
664,Did not like it.,1,923,6
665,Did not like it.,3,5505,6
666,Will buy again!,5,1056,6
667,Could be better.,2,6524,6
668,Did not like it.,1,1677,6
669,Will buy again!,1,3294,6
670,Very good quality.,2,6839,6
671,Very good quality.,3,5586,6
672,Did not like it.,3,2581,6
673,Did not like it.,1,2663,6
674,Not bad.,1,4971,6
675,Excellent product!,4,1172,6
676,Excellent product!,4,6285,6
677,Not bad.,5,4191,6
678,Very good quality.,3,5034,6
679,Did not like it.,1,2626,6
680,Very good quality.,3,4429,6
681,Not bad.,1,4676,6
682,Could be better.,3,3343,6
683,Will buy again!,5,4331,6
684,Not bad.,3,3265,6
685,Did not like it.,3,467,6
686,Not bad.,5,227,6
687,Will buy again!,2,2233,6
688,Did not like it.,3,325,6
689,Will buy again!,3,2605,6
690,Not bad.,4,6826,6
691,Excellent product!,4,3148,6
692,Could be better.,2,4360,6
693,Did not like it.,3,4761,6
694,Could be better.,3,4963,6
695,Could be better.,3,1551,6
696,Not bad.,3,2017,6
697,Not bad.,5,1403,6
698,Did not like it.,3,4050,6
699,Not bad.,4,2143,6
700,Not bad.,2,6555,6
701,Will buy again!,5,5796,6
702,Will buy again!,1,31,6
703,Could be better.,4,6377,6
704,Will buy again!,4,5079,6
705,Excellent product!,1,168,6
706,Did not like it.,3,692,6
707,Will buy again!,1,6634,6
708,Not bad.,1,5781,6
709,Did not like it.,3,3426,6
710,Very good quality.,1,3745,6
711,Will buy again!,4,4242,6
712,Not bad.,4,3567,6
713,Could be better.,1,169,6
714,Very good quality.,4,821,6
715,Excellent product!,2,4379,6
716,Could be better.,1,6684,6
717,Did not like it.,4,4495,6
718,Will buy again!,1,223,6
719,Very good quality.,3,2739,6
720,Did not like it.,1,6019,6
721,Very good quality.,1,3033,6
722,Will buy again!,5,4348,6
723,Could be better.,5,4295,6
724,Could be better.,5,3397,6
725,Very good quality.,4,3689,6
726,Not bad.,3,3433,6
727,Excellent product!,1,1735,6
728,Did not like it.,2,2495,6
729,Very good quality.,3,1517,6
730,Not bad.,2,670,6
731,Will buy again!,5,5291,6
732,Could be better.,4,6395,6
733,Very good quality.,3,3394,6
734,Did not like it.,3,2441,6
735,Very good quality.,4,4225,6
736,Did not like it.,2,6549,6
737,Did not like it.,2,752,6
738,Not bad.,1,1975,6
739,Could be better.,5,6979,6
740,Could be better.,2,4910,6
741,Will buy again!,4,6017,6
742,Not bad.,1,4919,6
743,Not bad.,3,2847,6
744,Will buy again!,3,1076,6
745,Not bad.,2,5077,6
746,Excellent product!,4,851,6
747,Excellent product!,4,2661,6
748,Could be better.,3,2861,6
749,Did not like it.,1,1589,6
750,Excellent product!,2,1270,6
751,Very good quality.,1,6104,6
752,Will buy again!,2,1717,6
753,Very good quality.,3,6276,6
754,Not bad.,1,662,6
755,Will buy again!,2,1281,6
756,Will buy again!,1,3374,6
757,Could be better.,2,799,6
758,Not bad.,4,4648,6
759,Will buy again!,2,32,7
760,Not bad.,4,4930,7
761,Excellent product!,1,2169,7
762,Excellent product!,3,6340,7
763,Will buy again!,3,26,7
764,Not bad.,3,1005,7
765,Not bad.,5,5817,7
766,Excellent product!,5,2501,7
767,Very good quality.,2,4902,7
768,Excellent product!,2,3022,7
769,Did not like it.,2,4288,7
770,Did not like it.,3,994,7
771,Not bad.,5,4624,7
772,Will buy again!,5,4161,7
773,Not bad.,2,6801,7
774,Could be better.,4,2607,7
775,Will buy again!,1,6149,7
776,Will buy again!,1,2706,7
777,Could be better.,1,3498,7
778,Excellent product!,2,5897,7
779,Will buy again!,3,1042,7
780,Did not like it.,3,4585,7
781,Could be better.,4,426,7
782,Did not like it.,1,6093,7
783,Will buy again!,4,3452,7
784,Very good quality.,1,1110,7
785,Excellent product!,5,5565,7
786,Will buy again!,1,1520,7
787,Not bad.,3,952,7
788,Not bad.,5,2078,7
789,Did not like it.,4,72,7
790,Very good quality.,5,6020,7
791,Excellent product!,1,1458,7
792,Very good quality.,2,4152,7
793,Excellent product!,2,4595,7
794,Not bad.,4,1396,7
795,Could be better.,3,3396,7
796,Did not like it.,1,576,7
797,Did not like it.,3,4142,7
798,Excellent product!,5,5342,7
799,Did not like it.,3,1891,7
800,Did not like it.,5,2113,7
801,Will buy again!,5,2383,7
802,Did not like it.,2,5690,7
803,Could be better.,5,3209,7
804,Did not like it.,1,5329,7
805,Very good quality.,3,1532,7
806,Will buy again!,4,3415,7
807,Not bad.,1,1495,7
808,Could be better.,5,2135,7
809,Could be better.,1,5920,7
810,Very good quality.,2,3606,7
811,Could be better.,5,3858,7
812,Very good quality.,5,6572,7
813,Excellent product!,3,957,7
814,Not bad.,5,6489,7
815,Excellent product!,2,6767,7
816,Very good quality.,1,1828,7
817,Could be better.,4,1524,7
818,Excellent product!,1,3684,7
819,Did not like it.,1,5828,7
820,Not bad.,3,1000,7
821,Did not like it.,4,1494,7
822,Very good quality.,1,567,7
823,Very good quality.,5,4011,7
824,Could be better.,3,3958,7
825,Did not like it.,5,3929,7
826,Not bad.,5,3445,7
827,Very good quality.,4,1995,7
828,Will buy again!,4,4287,7
829,Excellent product!,5,850,7
830,Very good quality.,2,4473,7
831,Excellent product!,3,637,7
832,Did not like it.,3,1255,7
833,Excellent product!,4,3416,7
834,Not bad.,1,2084,7
835,Excellent product!,5,3733,7
836,Very good quality.,1,1819,7
837,Excellent product!,1,6037,7
838,Not bad.,3,191,7
839,Very good quality.,5,6249,7
840,Very good quality.,3,3535,7
841,Not bad.,5,5602,7
842,Very good quality.,3,3979,7
843,Not bad.,5,6069,7
844,Will buy again!,5,4419,7
845,Will buy again!,3,6711,7
846,Excellent product!,4,730,7
847,Excellent product!,3,3565,7
848,Will buy again!,2,5866,7
849,Did not like it.,3,6864,7
850,Excellent product!,4,1124,7
851,Will buy again!,5,2335,7
852,Could be better.,5,4255,7
853,Not bad.,4,5838,7
854,Excellent product!,1,1318,7
855,Excellent product!,2,154,7
856,Will buy again!,2,3708,7
857,Could be better.,5,6901,7
858,Excellent product!,1,3228,7
859,Did not like it.,5,1159,7
860,Could be better.,3,3242,7
861,Not bad.,5,715,7
862,Did not like it.,1,2133,7
863,Very good quality.,2,4829,7
864,Did not like it.,4,4554,7
865,Did not like it.,4,4773,7
866,Not bad.,1,789,7
867,Will buy again!,3,302,7
868,Not bad.,1,205,7
869,Will buy again!,2,3101,7
870,Did not like it.,4,5327,7
871,Very good quality.,2,254,7
872,Not bad.,3,2710,7
873,Did not like it.,4,1203,7
874,Not bad.,1,210,7
875,Did not like it.,4,4587,7
876,Did not like it.,2,4365,7
877,Could be better.,4,4404,7
878,Very good quality.,5,1261,7
879,Will buy again!,1,4832,7
880,Excellent product!,3,6491,7
881,Could be better.,2,5061,7
882,Very good quality.,2,4912,7
883,Could be better.,3,2497,7
884,Did not like it.,3,4410,7
885,Not bad.,4,1337,7
886,Not bad.,1,3034,7
887,Could be better.,1,3943,7
888,Very good quality.,5,2804,7
889,Did not like it.,5,86,7
890,Excellent product!,2,3910,7
891,Excellent product!,4,4965,7
892,Excellent product!,3,5281,7
893,Did not like it.,1,1623,7
894,Did not like it.,4,2089,7
895,Did not like it.,2,3474,7
896,Will buy again!,4,6827,7
897,Could be better.,5,2690,7
898,Did not like it.,1,503,8
